"entidad_organo_nombre";"entidad_organo_jerarquia";"entidad_organo_nif";"direccion";"direccion_codigo_postal";"direccion_poblacion";"teléfono";"email"
"Dirección Gerencia del Complejo Hospitalario Universitario Insular Materno Infantil";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Sanidad> Servicio Canario de la Salud";"Q8555011I";"Plaza del Dr. Pasteur, s/n";"35016";"Las Palmas de Gran Canaria";"444149";"gerenchuimiscs@gobiernodecanarias.org"
"Dirección Gerencia Hospital Universitario de Gran Canaria Doctor Negrín";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Sanidad> Servicio Canario de la Salud> Direccion Gerencia Hospital Univ. de G.C. Dr. Negrín";"Q8555011I";"Barranco de la Ballena s/n";"35019";"Las Palmas de Gran Canaria";"928450147";"ucahugcdn.scs@gobiernodecanarias.org"
"Dirección Gerente del Hospital Universitario Nuestra Señora de Candelaria";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Sanidad> Servicio Canario de la Salud";"Q8555011I";"Carretera General del Rosario, 145";"38010";"Santa Cruz de Tenerife";"922601800";"cadmhunsc.scs@gobiernodecanarias.org"
"Director del Instituto Canario de Estadística (ISTAC)";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Hacienda, Presupuestos y Asuntos Europeos> Instituto Canario de Estadística (ISTAC)";"Q8550002C";"c/ Luis Doreste Silva, 101 p.7";"35004";"Las Palmas de Gran Canaria";"928899260";"istac@gobiernodecanarias.org"
"Director General de Industria y Energia";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Economía, Industria, Comercio y Conocimiento> Dirección General de Industria y Energía";"S3511001D";"León y Castillo, 200";"35071";"Las Palmas de Gran Canaria";"_U";"indweb.ceicc@gobiernodecanarias.org"
"Director General de Protección de la Naturaleza";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Política Territorial, Sostenibilidad y Seguridad > Dirección General de Protección de la Naturaleza";"S3511001D";"Avenida Francisco La Roche,nº 35, planta 11ª";"38071";"Santa Cruz de Tenerife";"_U";"jarmdoml@gobiernodecanarias.org"
"Directora General de Transportes del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Obras Públicas, Transportes y Vivienda> Viceconsejería de Infraestructuras y Transportes";"S3511001D";"Plaza de los Derechos Humanos, 22";"35071";"Las Palmas de Gran Canaria";"_U";"srvconadm@gobiernodecanarias.org"
"Escuela de Servicios Sanitarios y Sociales de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Sanidad";"Q8855009J";"Jose Zarate Y Penichet, 4";"38001";"Santa Cruz de Tenerife";"_U";"contratacion@essscan.es"
"Gerencia de Atención Primaria del Área de Salud de Gran Canaria";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Sanidad> Servicio Canario de la Salud";"Q8555011I";"C/ Luis Doreste Silva, 36-44";"35004";"Las Palmas de Gran Canaria";"928211997";"jherfalq@gobiernodecanarias.org"
"Gerencia de Atención Primaria del Area de Salud de Tenerife";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Sanidad> Servicio Canario de la Salud";"Q8555011I";"Carmen Monteverde, 45";"38003";"Santa Cruz de Tenerife";"922951672";"contragaptf.scs@gobiernodecanarias.org"
"Gerencia de los servicios Sanitarios del Area de Salud de La Palma";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Sanidad> Servicio Canario de la Salud";"Q8555011I";"Buenavista de Arriba s/n";"38713";"La Palma";"922185151";"contra-hglp.scs@gobiernodecanarias.org"
"Gerencia de Servicio Sanitarios de Fuerteventura";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Sanidad> Servicio Canario de la Salud> Gerencia de Servicios Sanitarios de Fuerteventura";"Q8555011I";"Carretera al Aeropuerto Km. 1";"35600";"Puerto del Rosario";"928862027";"contratahgf.scs@gobiernodecanarias.org"
"Gerencia de Servicios Sanitarios de La Gomera";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Sanidad> Servicio Canario de la Salud";"Q8555011I";"El Langrero, s/n";"38800";"San Sebastián de la Gomera";"922140205";"srvconhnsg.scs@gobiernodecanarias.org"
"Gerencia de Servicios Sanitarios del Área de Salud de EL Hierro";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Sanidad> Servicio Canario de la Salud";"Q8555011I";"Los Barriales, 1";"38914";"Valverde";"922553528";"cquipadw@gobiernodecanarias.org"
"Gerencia de Servicios Sanitarios del Área de Salud de Lanzarote";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Sanidad> Servicio Canario de la Salud";"Q8555011I";"Ctra. Arrecife-Tinajo Km. 1,300";"35500";"Arrecife";"928478902";"uchgl.scs@gobiernodecanarias.org"
"Instituto Canario de Calidad Agroalimentaria - ICCA";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"Q3800459D";"Buenos Aires, 5 - 4º";"38071";"Santa Cruz de Tenerife";"922174330";"icca.agricultura@gobiernodecanarias.org"
"Instituto Canario de Hemodonación y Hemoterapia (ICHH)";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"Q8550001E";"Eusebio Navarro, 77";"35003";"Las Palmas de Gran Canaria";"928306978";"mbatrodz@gobiernodecanarias.org"
"Instituto Canario de Igualdad";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Derechos Sociales, Igualdad, Diversidad y Juventud> Instituto Canario de Igualdad";"Q8550003A";"Avda.Jose Manuel Guimerá s/n ,Edf. Servicios Multiples II , 2ª planta";"38071";"Santa Cruz de Tenerife";"922922855";"contrata.ici@gobiernodecanarias.org"
"Instituto Canario de la Vivienda";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Obras Públicas, Transportes y Vivienda> Instituto Canario de la Vivienda";"Q3800444F";"C/ Profesor Agustín Millares Carló, nº 18, Edificio de Servicios Múltiples II.";"35071";"Las Palmas de Gran Canaria.";"_U";"mpaipae@gobiernodecanarias.org"
"Presidencia del Ente Público Empresarial Puertos Canarios";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Obras Públicas, Transportes y Vivienda> Puertos Canarios";"Q3800513H";"Luis Doreste Silva, 2";"35004";"Las Palmas de Gran Canaria";"828181140";"registro@puertoscanarios.es"
"Presidencia del Ente Público Radiotelevisión Canaria";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Hacienda, Presupuestos y Asuntos Europeos> Ente Público Radiotelevisión Canaria";"Q8850005C";"La Marina, 57 - 2ª planta";"38001";"Santa Cruz de Tenerife";"_U";"avelazquezd@tvcanaria.tv"
"Presidencia del Instituto canario de Investigaciones Agrarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Agricultura, Ganadería, Pesca y Aguas> Instituto Canario de Investigaciones Agrarias";"Q8850003H";"Carretera de Boquerón s/n";"38270";"Valle de Guerra - La Laguna";"923267";"registro@icia.es"
"Secretaria General de la Presidencia del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Presidencia del Gobierno> Secretaría General";"S3511001D";"Avda. José Manuel Guimerá, 1";"38071";"Santa Cruz de Tenerife";"_U";"cherper@gobiernodecanarias.org"
"Secretaría General del Consejo Económico y Social de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Economía, Conocimiento y Empleo> Consejo Económico y Social";"S8500010G";"Secretario Artiles, 47";"35007";"Las Palmas de Gran Canaria";"928117114";"secretario.ces@gobiernodecanarias.org"
"Secretaria General del Servicio Canario de Salud";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Sanidad> Servicio Canario de la Salud> Secretaría General del Servicio Canario de la Salud";"Q8555011I";"Avda. Juan XXIII, 17-2º";"35004";"Las Palmas de Gran Canaria";"928118923";"pliegossg.scs@gobiernodecanarias.org"
"Secretaría General Técnica";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Política Territorial, Sostenibilidad y Seguridad > Secretaría General Técnica";"S3511001D";"Avenida Francisco La Roche,nº 35, planta 5ª";"38071";"Santa Cruz de Tenerife";"_U";"ccorsanf@gobiernodecanarias.org"
"Secretaría General Técnica de Administraciones Públicas, Justicia y Seguridad";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Avda. José Manuel Guimerá, 10";"38071";"Santa Cruz de Tenerife";"_U";"aagg.administracionespublicas@gobiernodecanarias.org"
"Secretaría General Técnica de Economía, Industria, Comercio y Conocimiento del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"León y Castillo, 200 planta 3ª";"35071";"Las Palmas de Gran Canaria";"_U";"servregjur.ceicc@gobiernodecanarias.org"
"Secretaría General Técnica de Hacienda, Presupuestos y Asuntos Europeos";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Hacienda, Presupuestos y Asuntos Europeos";"S3511001D";"Tomás Miller, 38";"35007";"Las Palmas de Gran Canaria";"_U";"contratacionsgt.hacienda@gobiernodecanarias.org"
"Secretaría General Técnica de la Consejería de Agricultura, Ganaderia, Pesca y Aguas";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Avda. Juan Manuel Guimerá, 10";"38071";"Santa Cruz de Tenerife";"_U";"Contratacion.agricultura@gobiernodecanarias.org"
"Secretaría General Técnica de la Consejería de Derechos Sociales, Igualdad, Diversidad y Juventud";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Derechos Sociales, Igualdad, Diversidad y Juventud";"S3511001D";"Leoncio Rodríguez, 3 - Edif. El Cabo - 5ª pl.";"38003";"Santa Cruz de Tenerife";"922951286";"ebarros@gobiernodecanarias.org"
"Secretaría General Técnica de la Consejería de Economía, Conocimiento y Empleo";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"León y Castillo, 200 Edif. Servicios Múiltiples III 3ª pl.";"35071";"Las Palmas de Gran Canaria";"_U";"servcoordri.economia@gobiernodecanarias.org"
"Secretaría General Técnica de la Consejería de Educación, Universidades, Cultura y Deportes";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Avda. de Buenos Aires, 5";"38003";"Santa Cruz de Tenerife";"822171898";"pmenrod@gobiernodecanarias.org"
"Secretaría General Técnica de la Consejería de Educación y Universidades del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Educación y Universidades> Secretaría General Técnica de la Consejería de Educación y Universidades";"S3511001D";"Avda. de Buenos Aires, 5";"38071";"Santa Cruz de Tenerife";"_U";"contrata.ceu@gobiernodecanarias.org"
"Secretaría General Técnica de la Consejería de Empleo, Políticas Sociales y Vivienda";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Empleo, Políticas Sociales y Vivienda";"S3511001D";"Calle Leoncio Rodríguez, número 3";"38003";"Santa Cruz de Tenerife";"_U";"ebarros@gobiernodecanarias.org"
"Secretaría General Técnica de la Consejería de Obras Públicas, Transportes y Vivienda";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Profesor Agustín Millares Carló, 22 Edificio de Servicios Múltiples I - pl. 9ª";"35071";"Las Palmas de Gran Canaria";"922924916";"serviciocontratacion.obraspublicas@gobiernodecanarias.org"
"Secretaría General Técnica de la Consejería de Obras Públicas y Transportes del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Obras Públicas y Transportes";"S3511001D";"Plaza de los Derechos Humanos, 22";"35071";"Las Palmas de Gran Canaria";"_U";"srvcopt@gobiernodecanarias.org"
"Secretaria General Técnica de la Consejería de Presidencia e Igualdad del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Presidencia, Justicia e Igualdad> Secretaría General Técnica de Presidencia, Justicia e Igualdad";"S3511001D";"Avda. José Miguel Guimerá, 10";"38071";"Santa Cruz de Tenerife";"_U";"mgasrod@gobiernodecanarias.org"
"Secretaria General Técnica de la Consejería de Sanidad del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Sanidad";"S3511001D";"Rambla de Santa Cruz, 53";"38071";"Santa Cruz de Tenerife";"922474779";"contratacion.sanidad@gobiernodecanarias.org"
"Secretaría General Técnica de la Consejería de Transición Ecológica, Lucha contra el Cambio Climático y Planificación Territorial del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Avda. Francisco La Roche, 35 - pl. 5ª";"38071";"Santa Cruz de Tenerife";"_U";"mbonpar@gobiernodecanarias.org"
"Secretaría General Técnica de la Consejería de Turismo, Industria y Comercio";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Edif. Usos Múltiples III- León y Castillo, 200 - 6ª pl.";"35071";"Las Palmas de Gran Canaria";"928455770";"mgutvic@gobiernodecanarias.org"
"Secretaría General Técnica de Política Territorial, Sostenibilidad y Seguridad del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Política Territorial, Sostenibilidad y Seguridad";"S3511001D";"Avda. Francisco Laroche, 35 -  planta 5ª";"38071";"Santa Cruz de Tenerife";"_U";"ccorsanf@gobiernodecanarias.org"
"Servicio Canario de Empleo";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Economía, Conocimiento y Empleo> Servicio Canario de Empleo";"Q8855008B";"Avda. Dr. De la Rosa Perdomo, 2";"38010";"Santa Cruz de Tenerife";"_U";"sconpat.sce@gobiernodecanarias.org"
"Viceconsejera de la Presidencia del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Presidencia del Gobierno> Viceconsejería de la Presidencia";"S3511001D";"Avda. José Manuel Guimerá, 1";"38071";"Santa Cruz de Tenerife";"_U";"malcdiac@gobiernodecanarias.org"
"Viceconsejera de Medio Ambiente";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Política Territorial, Sostenibilidad y Seguridad > Viceconsejería de Medio Ambiente";"S3511001D";"Avenida Francisco La Roche,nº 35, planta 4ª";"38071";"Santa Cruz de Tenerife";"_U";"bperdel@gobiernodecanarias.org"
"Viceconsejería de Acción Exterior";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"ES3511001";"Plaza de San Telmo, 1";"38071";"Santa Cruz de Tenerife";"_U";"aberrod@gobiernodecanarias.org"
"Viceconsejería de Administraciones Públicas y Transparencia";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Administraciones Públicas, Justicia y Seguridad";"S3511001D";"Avda. José Manuel Guimerá, 10 - Edif. Usos Múltiples II 1ª pl.";"38071";"Santa Cruz de Tenerife";"922476275";"administracionespublicas@gobiernodecanarias.org"
"Viceconsejería de Comunicación y Relaciones con los Medios del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Presidencia del Gobierno> Viceconsejería de Comunicación y Relaciones con los Medios";"S3511001D";"Plaza Dr. Rafael O'Shanahan";"35071";"Las Palmas de Gran Canaria";"_U";"malcdiac@gobiernodecanarias.org"
"Viceconsejería de Cultura y Deportes";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Murga, 54 - 2º";"35003";"Las Palmas de Gran Canaria";"_U";"aagudia@gobiernodecanarias.org"
"Viceconsejería de Cultura y Patrimonio Cultural del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Murga 52-54, 2ª planta";"35071";"Las Palmas de Gran Canaria";"_U";"jmarfan@gobiernodecanarias.org"
"Viceconsejería de Derechos Sociales";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Carlos J.R. Hamilton, 14 Edif. Mabell";"38071";"Santa Cruz de Tenerife";"922951286";"ebarros@gobiernodecanarias.org"
"Viceconsejería de Economía e Internacionalización";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Tomás Miller, 38 - 4ª pl.";"35071";"Las Palmas de Gran Canaria";"_U";"viceconsejeriaei.ece@gobiernodecanarias.org"
"Viceconsejería de Economía y Asuntos Económicos con la Unión Europea del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Economía, Industria, Comercio y Conocimiento> Viceconsejería de Economía y Asuntos Económicos con la Unión Europea";"S3511001D";"Calle León y Castillo, nº 200 - 4ª planta";"35071";"Las Palmas de Gran Canaria";"_U";"gabviceco.ceicc@gobiernodecanarias.org"
"Viceconsejería de Igualdad y Diversidad";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Carlos J.R. Hamilton, 14 Edif. Mabell";"38071";"Santa Cruz de Tenerife";"922951286";"ebarros@gobiernodecanarias.org"
"Viceconsejería de Industria, Comercio y Consumo";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"León y Castillo, 200 - 2ª Planta - Edif. Servicios Múltiples III";"35071";"Las Palmas de Gran Canaria";"_U";"msanrod1@gobiernodecanarias.org"
"Viceconsejería de Industria, Energía y Comercio";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"León y Castillo, 200 - 2ª pl. Ed. Multiples III";"35071";"Las Palmas de Gran Canaria";"_U";"enerweb.ceicc@gobiernodecanarias.org"
"Viceconsejería de Justicia";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Administraciones Públicas, Justicia y Seguridad";"S3511001D";"Avda. José Manuel Guimerá, 10";"38071";"Santa Cruz de Tenerife";"928117943";"jreyare@gobiernodecanarias.org"
"Viceconsejería de Política Territorial de la Consejería de Política Territorial, Sostenibilidad y Seguridad del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Política Territorial, Sostenibilidad y Seguridad";"S3511001D";"Avenida Francisco La Roche, 35 -  planta 6ª";"38071";"Santa Cruz de Tenerife";"_U";"jromesp@gobiernodecanarias.org"
"Viceconsejería de Políticas Sociales y Vivienda";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Leoncio Rodríguez, 3";"38003";"Santa Cruz de Tenerife";"922951286";"ebarros@gobiernodecanarias.org"
"Viceconsejería de Relaciones con el Parlamento";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias> Consejería de Administraciones Públicas, Justicia y Seguridad";"S3511001D";"Avda. José Manuel Guimera, 10";"38071";"Santa Cruz de Tenerife";"_U";"jsanperm@gobiernodecanarias.org"
"Viceconsejería de Sector Primario de la Consejería de Agricultura Ganadería, Pesca y Aguas del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Avda. José Manuel Guimerá, 10";"38071";"Santa Cruz de Tenerife";"_U";"Contratacion.agricultura@gobiernodecanarias.org"
"Viceconsejería de Turismo";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"León y Castillo, 200, 5ª planta";"35071";"Las Palmas de Gran Canaria";"928455788";"ssaaher@gobiernodecanarias.org"
"Viceconsejero de Infraestructuras y Transportes del Gobierno de Canarias";"COMUNIDADES Y CIUDADES AUTÓNOMAS> Comunidad Autónoma de Canarias";"S3511001D";"Profesor Agustín Millares Carló, 22";"35071";"Las Palmas de Gran Canaria";"_U";"serviciocontratacion.obraspublicas@gobiernodecanarias.org"
